"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SENSOR_VL53L0X";1;"VL53L0X";;;
2;"R3,R2,R4,R1";"R_0805_2012Metric";4;"2K";;;
3;"R5";"R_0805_2012Metric";1;"20K";;;
4;"C2";"C_Elec_4x5.4";1;"4.7uF";;;
5;"SW2,SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push";;;
6;"D1";"D_SOD-323";1;"DIODE";;;
7;"C1";"C_0402_1005Metric";1;"100nF";;;
8;"U1";"Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM";1;"SeeeduinoXIAO";;;
